2018 SOC Code,Occupation,Probability,TOT_EMP,percentile_rank
33-3012,Correctional officers and jailers,0.6,365380,41.55969228344094
27-4031,"Camera operators, television, video, and motion picture",0.6,24460,41.577575979753846
51-3023,Slaughterers and meat packers,0.6,67500,41.62692796262878
49-2096,"Electronic equipment installers and repairers, motor vehicles",0.61,10140,41.634341727167325
31-2022,Physical therapist aides,0.61,44010,41.66651922000178
39-3092,Costume attendants,0.61,6290,41.671118093665235
13-1161,Market research analysts and marketing specialists,0.61,861140,42.30073241267148
43-4181,Reservation and transportation ticket agents and travel clerks,0.61,127440,42.39390895633936
51-8031,Water and wastewater treatment plant and system operators,0.61,126750,42.48658101307118
19-4044,"Life, physical, and social science technicians, all other",0.61,2940,42.488730566103065
19-4099,"Life, physical, and social science technicians, all other",0.61,71400,42.54093399687744
51-3093,Food cooking machine operators and tenders,0.61,27660,42.561157342748864
51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders",0.61,36290,42.587690431023404
53-5022,Motorboat operators,0.62,2380,42.58943054538255
47-2082,Tapers,0.62,12500,42.5985698014705
47-2151,Pipelayers,0.62,33580,42.62312149902517
19-2042,"Geoscientists, except hydrologists and geographers",0.63,22510,42.63957947138835
49-9012,"Control and valve installers and repairers, except mechanical door",0.63,46920,42.673884583040085
,"Healthcare support workers, all other",0.63,0,42.673884583040085
35-1012,First-line supervisors of food preparation and serving workers,0.63,1187460,43.542084665775945
47-4011,Construction and building inspectors,0.63,137210,43.64240445200217
51-9031,"Cutters and trimmers, hand",0.64,7070,43.647573615245506
49-9071,"Maintenance and repair workers, general",0.64,1531700,44.767461499238664
23-1021,"Administrative law judges, adjudicators, and hearing officers",0.64,16230,44.77932790934326
53-7065,Stock clerks and order fillers,0.64,2779530,46.81155482727464
51-8012,Power distributors and dispatchers,0.64,9180,46.818266696945635
47-2132,"Insulation workers, mechanical",0.64,25640,46.83701313903323
19-4061,Social science research assistants,0.65,32940,46.8610969066762
51-4041,Machinists,0.65,298790,47.079554372797716
,Computer support specialists,0.65,0,47.079554372797716
25-4022,Librarians,0.65,131830,47.17594062320368
49-2097,Electronic home entertainment equipment installers and repairers,0.65,22170,47.19215000780127
49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",0.65,396870,47.482317732891275
53-7041,Hoist and winch operators,0.65,2480,47.48413096129912
37-2021,Pest control workers,0.66,96110,47.554400873508165
51-9198,Helpers–production workers,0.66,167490,47.67685959368183
43-9111,Statistical assistants,0.66,5900,47.681173322555345
37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",0.66,2199900,49.28960927998601
49-3051,Motorboat mechanics and service technicians,0.66,24250,49.30733943679663
51-9196,"Paper goods machine setters, operators, and tenders",0.67,96950,49.37822350701478
51-4071,Foundry mold and coremakers,0.67,12720,49.38752361400988
19-2021,Atmospheric and space scientists,0.67,8780,49.39394302748606
53-3052,"Bus drivers, transit and intercity",0.67,148980,49.50286833724469
33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",0.67,143590,49.6078527997782
49-9041,Industrial machinery mechanics,0.67,421940,49.9163502168782
43-5052,Postal service mail carriers,0.68,336040,50.1620426661418
47-5071,"Roustabouts, oil and gas",0.68,45330,50.19518526441915
47-2011,Boilermakers,0.68,10170,50.20262096317231
17-3013,Mechanical drafters,0.68,39900,50.23179346860505
29-1292,Dental hygienists,0.68,219070,50.39196441510004
53-3033,Light truck or delivery services drivers,0.69,994410,51.11901782681358
37-2012,Maids and housekeeping cleaners,0.69,854910,51.744077140585595
51-9124,"Painters, transportation equipment",0.69,159500,51.86069404826785
43-4061,"Eligibility interviewers, government programs",0.7,156260,51.9749420607721
49-3093,Tire repairers and changers,0.7,106620,52.05289625949989
51-3092,Food batchmakers,0.7,171660,52.178403835504504
49-2091,Avionics technicians,0.7,20900,52.19368467168356
49-3011,Aircraft mechanics and service technicians,0.71,136390,52.29340492271041
53-2022,Airfield operations specialists,0.71,16640,52.30557110041468
51-8093,"Petroleum pump system operators, refinery operators, and gaugers",0.71,34860,52.33105865779276
,"Construction and related workers, all other",0.71,0,52.33105865779276
29-2081,"Opticians, dispensing",0.71,79690,52.389323243204664
51-6011,Laundry and dry-cleaning workers,0.71,195360,52.53215884875204
39-3091,Amusement and recreation attendants,0.72,371590,52.80384334232977
31-9095,Pharmacy aides,0.72,41100,52.83389321634696
47-3016,Helpers–roofers,0.72,5170,52.83767321266494
53-7121,"Tank car, truck, and ship loaders",0.72,10920,52.84565726678336
49-9031,Home appliance repairers,0.72,31940,52.8690098939393
47-2031,Carpenters,0.72,697740,53.37915585736385
27-3099,Public address system and other announcers,0.72,23590,53.39640346145303
