state_fips,person_type,age,weight_cmp,weight_or,occ2018,citizenship,nativity_country,year_of_entry,mlr_status,in_civ_lf,emp_recode,foreign_born,non_cit_foreign,nativity_flag,emp_status
10,2.0,53.0,7487470.0,0.0,3255,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,44.0,7962466.0,31568073.0,3255,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,40.0,12169500.0,51099513.0,4210,5.0,369.0,20.0,1.0,1.0,1.0,1,1,1,EMPLOYED
10,2.0,63.0,7111846.0,0.0,4800,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,23.0,10635134.0,0.0,5240,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,56.0,8613764.0,0.0,5120,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,32.0,11535566.0,0.0,2310,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,33.0,7763476.0,0.0,2910,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,34.0,9548573.0,0.0,0440,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,65.0,10363402.0,0.0,0440,4.0,210.0,9.0,1.0,1.0,1.0,1,0,1,EMPLOYED
10,2.0,31.0,7437897.0,0.0,0700,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,56.0,7398704.0,0.0,0350,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,22.0,11398121.0,0.0,3645,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,51.0,7716626.0,0.0,5510,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,46.0,7420003.0,0.0,4700,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,38.0,3272771.0,13022138.0,1021,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,37.0,3584967.0,14212997.0,0750,4.0,150.0,23.0,1.0,1.0,1.0,1,0,1,EMPLOYED
11,2.0,39.0,5386512.0,0.0,0710,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,35.0,3500323.0,0.0,0440,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,39.0,3584967.0,14212997.0,0420,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,23.0,3431338.0,0.0,1240,5.0,207.0,26.0,4.0,1.0,2.0,1,1,1,UNEMPLOYED
11,2.0,39.0,13190315.0,0.0,2310,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,42.0,6443923.0,0.0,2360,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,76.0,3699004.0,0.0,3090,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,57.0,3765484.0,0.0,1108,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,26.0,4464680.0,0.0,0650,1.0,57.0,0.0,4.0,1.0,2.0,0,0,0,UNEMPLOYED
11,2.0,26.0,4702957.0,0.0,0710,1.0,57.0,0.0,2.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,69.0,3246674.0,0.0,2360,4.0,162.0,20.0,1.0,1.0,1.0,1,0,1,EMPLOYED
11,2.0,26.0,3477844.0,13905678.0,0440,5.0,136.0,26.0,1.0,1.0,1.0,1,1,1,EMPLOYED
11,2.0,30.0,3520069.0,14663726.0,0710,4.0,233.0,23.0,1.0,1.0,1.0,1,0,1,EMPLOYED
11,2.0,54.0,5474696.0,0.0,0120,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,22.0,4157548.0,17380761.0,1530,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
